id,company_code,plant_code,hari_giling,tgl_giling,thn_giling,KIS,KIS SD,KIS INCLUSIF,KIS INCLUSIF SD,KES,KES SD,HA TEBANG TR,HA TEBANG TS,HA TEBANG KSO,HA TEBANG SPT,HA TEBANG TOTAL,TON TEBANG TR,TON TEBANG TS,TON TEBANG KSO,TON TEBANG SPT,TON TEBANG TOTAL,HA GILING TR,HA GILING TS,HA GILING KSO,HA GILING SPT,HA GILING TOTAL,TON GILING TR,TON GILING TS,TON GILING KSO,TON GILING SPT,TON GILING TOTAL,KRISTAL TR,KRISTAL TS,KRISTAL KSO,KRISTAL SPT,KRISTAL TOTAL,RENDEMEN TR,RENDEMEN TS,RENDEMEN KSO,RENDEMEN SPT,RENDEMEN TOTAL,GULA MILIK PG,GULA MILIK PETANI,GULA MILIK KSO,GULA PRODUKSI,TETES MILIK PG,TETES MILIK KSO,TETES MILIK PETANI,TETES PRODUKSI,tebu_terbakar_total,beban_pabrik,kristal_taksasi,plus_minus_kristal,JAM BERHENTI A,JAM BERHENTI B,TOTAL JAM BERHENTI,pol_tebu,pol_tebu_sd,k_dlm_tetes,k_dlm_tetes_sd,k_dlm_ampas,k_dlm_ampas_sd,k_dlm_blotong,k_dlm_blotong_sd,ef_ov,ef_ov_sd,k_dlm_total,k_dlm_total_sd,ef_me,ef_me_sd,ef_bhr,ef_bhr_sd,ef_or,ef_or_sd,residu,residu_rupiah,bba_ton,bba_rupiah,pln_kwh,pln_rupiah,icumsa,icumsa_sd,bjb,bjb_sd,kadar_air,kadar_air_sd,tetes_brix,tetes_brix_sd,tetes_hk,tetes_hk_sd,tetes_tsai,tetes_tsai_sd,tetes_od,tetes_od_sd,brix,pol,nilainira,analisa_trash,analisa_trash_sd,soc,soc_sd,bpp_kapur,bpp_belerang,bpp_asam_phospat,bpp_flokulan,bpp_filter_aid,karung_dipakai,karung_reject,rain
6075,SGN,SG20,106,45546,2024,1240.91,1894.17,1240.91,1858.5,1240.91,2349.78,9.911,0,3.412,0,13.323,607.03,0,65.75,0,672.78,18.68,0,4.812,0,23.492,1154.78,0,86.13,0,1240.91,88.024,0,5.747,0,93.771,7.62,0,6.672471845,0,7.56,93.625,76.221,4.004,173.85,26.972,2.584,34.644,64.2,0,68.89,-134.22,-54.661,0,0,0,9.75,9.11,1.29,1.31,0.77,0.73,0.05,0.06,0.08,0.1,2.19,2.2,92.05,91.9,84.2,82.55,77.5,75.86,0,0,0,0,31000,34812.566,266,271,0.83,0.82,0.02,0.02,92.49,92.4,33.68,34.15,0,0,0,0,18.26,13.15,11.1,0,8.96,56.02,56.95,2486.12,922.24,73.89,1.33,0,3477,0,0
931,SGN,SG21,1,45451,2024,1117.08,1117.08,1117.08,1117.08,2262.86,2262.86,56.479,0,0,0,56.479,3772.12,0,0,0,3772.12,17.044,0,0,0,17.044,1117.08,0,0,0,1117.08,69.59,0,0,0,69.59,6.23,0,#DIV/0!,0,6.23,0,0,0,0,0,0,0,0,0,69.59,32.47,-37.12,0,10.38,10.38,8.35,8.35,0.71,0.71,0.65,0.65,0.06,0.06,0.7,0.7,2.12,2.12,92.22,92.22,80.9,80.9,74.61,74.61,0,0,200,107000000,11500,13299415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.54,10.34,8.26,0,0,0,0,1000,2500,210,0,0,0,0,1
1275,SGN,SG21,2,45452,2024,1091.41,1191.1,1091.41,1191.1,2651.2,2650.19,17.356,0,0,0,17.356,1120.08,0,0,0,1120.08,16.756,0,0,0,16.756,1091.41,0,0,0,1091.41,67.997,0,0,0,67.997,6.23,0,#DIV/0!,0,6.23,0,0,0,0,0,0,0,0,0,137.58,72.57,4.58,1,13.12,14.12,8.35,16.7,1.4,1.05,0.64,0.65,0.06,0.06,0.01,0.36,2.12,2.12,92.3,92.26,80.83,80.86,74.61,74.61,0,0,50,26750000,17560,19938765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49,10.75,9.26,0,0,0,0,1500,1250,105,15,0,0,0,1
1277,SGN,SG21,3,45453,2024,1757.77,1389.64,1757.77,1389.64,2649.9,2650.06,21.821,0,0,0,21.821,1330.94,0,0,0,1330.94,26.922,0,0,0,26.922,1757.77,0,0,0,1757.77,109.508,0,0,0,109.508,6.23,0,#DIV/0!,0,6.23,0,0,0,0,0,0,0,0,0,247.08,110.74,1.23,0,8.08,8.08,8.63,25.33,1.4,1.21,0.89,0.75,0.08,0.07,0.02,0.21,2.38,2.24,89.7,91.11,80.66,80.77,72.36,73.59,0,0,50,267500000,20040,22538573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.11,11.17,9.59,0,0,0,0,1500,1250,105,0,0,0,0,0
1279,SGN,SG21,4,45454,2024,2378.39,1646.18,2378.39,1646.18,2650.02,2650.05,39.083,0,0,0,39.083,2617.37,0,0,0,2617.37,35.95,0,0,0,35.95,2378.39,0,0,0,2378.39,148.136,0,0,0,148.136,6.23,0,#DIV/0!,0,6.23,0,0,0,0,0,0,0,0,0,395.26,151.05,1.08,2.46,0,2.46,8.61,8.47,1.3,1.24,0.8,0.77,0.1,0.08,0.19,0.2,2.38,2.29,90.73,90.97,79.75,80.39,72.36,73.12,0,0,0,0,22440,25107307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,11.12,9.61,0,0,55.22,55.22,2000,1500,105,0,150,0,0,1
1003,SGN,SG21,5,45455,2024,2089.42,1737.49,2089.42,1737.49,2650.43,2650.14,31.626,0,0,0,31.626,2100.25,0,0,0,2100.25,32.495,0,0,0,32.495,2089.42,0,0,0,2089.42,130.171,0,0,0,130.171,6.23,0,#DIV/0!,0,6.23,0,9.5,0,9.5,0,0,120,120,0,515.96,121.78,2.88,0,5.08,5.08,8.5,8.51,1.72,1.36,0.41,0.68,0.1,0.08,0.04,0.16,2.27,2.28,95.13,92,77.04,79.53,73.29,73.17,0,0,0,0,24020,26909564,285,285,0.82,0.82,0.04,0.04,88.2,88.2,30,30,0,0,0,0,14.79,10.95,9.41,0,0,0,0,3000,1250,105,0,0,190,0,1
1004,SGN,SG21,6,45456,2024,2106.2,1800.47,2106.2,1800.47,2649.31,2649.97,31.513,0,0,0,31.513,2079.9,0,0,0,2079.9,30.681,0,0,0,30.681,2106.2,0,0,0,2106.2,131.216,0,0,0,131.216,6.23,0,#DIV/0!,0,6.23,0,55,0,55,0,0,103.625,103.625,0,592.34,85.59,9.21,2,2.92,4.92,0,0,1.76,1.44,0.75,0.69,0.09,0.08,0.02,0.13,2.62,2.35,91.58,91.91,76.87,78.98,70.4,72.6,0,0,0,0,23600,26443463,281,283,0.81,0.81,0.05,0.05,87.35,87.35,38.7,38.7,0,0,0,0,15.31,11.43,9.87,0,0,55.2,55.2,3000,1000,105,0,0,1100,0,0
1005,SGN,SG21,7,45457,2024,2104.06,1844.77,2104.06,1844.77,2649.39,2649.88,30.501,0,0,0,30.501,2061.32,0,0,0,2061.32,32.61,0,0,0,32.61,2104.06,0,0,0,2104.06,131.084,0,0,0,131.084,6.23,0,#DIV/0!,0,6.23,0,133,0,133,0,0,98.891,98.891,0,591.05,-0.09,1.2,3,1.94,4.94,8.66,8.59,1.71,1.49,0.62,0.68,0.09,0.08,0.01,0.11,2.43,2.37,92.84,92.07,77.47,78.73,71.92,72.48,0,0,0,0,22980,25863427,282,282,0.82,0.82,0.06,0.06,87.17,88.16,37.7,34.8,0,0,0,0,14.83,11.01,9.49,17.23,17.23,55.17,55.23,3000,1000,105,15,0,2660,0,0
1006,SGN,SG21,8,45458,2024,2037.55,1869.31,2037.55,1869.31,2650.47,2649.96,26.836,0,0,0,26.836,1754.37,0,0,0,1754.37,30.922,0,0,0,30.922,2037.55,0,0,0,2037.55,127.707,0,0,0,127.707,6.27,0,#DIV/0!,0,6.27,0,140,0,140,0,0,93.727,93.727,0,579.17,-9.22,2.84,5.55,0,5.55,8.53,8.59,1.7,1.52,0.46,0.65,0.08,0.08,0.02,0.1,2.26,2.35,94.57,92.41,77.7,78.58,73.48,72.62,0,0,0,0,22980,25863427,279,281,0.85,0.83,0.06,0.06,87.7,88.07,32.23,30.99,0,0,0,0,14.76,11,9.5,0,17.23,55.23,55.23,3500,1462,105,15,0,2800,0,1
1668,SGN,SG21,9,45459,2024,1743.7,1855.12,1743.7,1855.12,2650.34,2650,23.553,0,0,0,23.553,1532.38,0,0,0,1532.38,26.14,0,0,0,26.14,1743.7,0,0,0,1743.7,109.33,0,0,0,109.33,6.27,0,#DIV/0!,0,6.27,0,118,0,118,1.943,0,76.524,78.467,0,570.67,-6.35,1.97,8.21,0,8.21,8.75,8.6,1.7,1.54,0.66,0.65,0.09,0.08,0.02,0.09,2.48,2.36,92.46,92.42,77.5,78.47,71.66,72.52,0,0,0,0,0,0,285,282,0.83,0.8,0.06,0.06,89.4,87.51,33.7,34,0,0,0,0,15.2,11.32,9.77,0,17.23,55.23,55.23,3500,1250,105,0,75,2360,0,1
